ascii_name,description,genus_pk,id,iso_codes,jsondata,latitude,longitude,macroarea,markup_description,name,pk,samples_100,samples_200
abaza,,7,abz,abq,{},44.0,42.0,Eurasia,,Abaza,16,False,False
abkhaz,,7,abk,abk,{},43.0833333333,41.0,Eurasia,,Abkhaz,9,True,True
acehnese,,14,ace,ace,{},5.5,95.5,Eurasia,,Acehnese,17,False,False
achang,,20,acn,acn,{},25.0,98.5,Eurasia,,Achang,23,False,False
adyghe abzakh,,7,ady,ady,{},45.2333333333,40.5833333333,Eurasia,,Adyghe (Abzakh),32,False,False
adyghe shapsugh,,7,ash,ady,{},45.0,38.75,Eurasia,,Adyghe (Shapsugh),152,False,False
adyghe temirgoy,,7,adt,ady,{},45.2166666667,39.7,Eurasia,,Adyghe (Temirgoy),31,False,False
aghul,,32,agl,agx,{},41.75,47.6666666667,Eurasia,,Aghul,43,False,False
ainu,,40,ain,ain,{},43.0,143.0,Eurasia,,Ainu,55,False,True
akabiada,,43,akb,abj,{},11.6666666667,92.5,Eurasia,,Aka-Biada,61,False,False
akacari,,43,akc,aci,{},13.5,93.0,Eurasia,,Aka-Cari,62,False,False
akakede,,43,akk,akx,{},12.75,92.75,Eurasia,,Aka-Kede,64,False,False
akha,,20,akh,ahk,{},21.8333333333,99.8333333333,Eurasia,,Akha,63,False,False
akhvakh,,74,axv,akv,{},42.3333333333,46.3333333333,Eurasia,,Akhvakh,187,False,False
albanian,,47,alb,"aln, als",{},41.0,20.0,Eurasia,,Albanian,72,False,False
alsatian,,27,alt,gsw,{},48.5,7.5,Eurasia,,Alsatian,81,False,False
altai southern,,83,aso,alt,{},51.0,87.0,Eurasia,,Altai (Southern),155,False,False
alutor,,51,alu,alr,{},61.0,165.0,Eurasia,,Alutor,82,False,False
amdo,,56,amd,adx,{},35.0,100.0,Eurasia,,Amdo,89,False,False
amdo themchen,,56,amt,adx,{},38.0,98.0,Eurasia,,Amdo (Themchen),102,False,False
andi,,74,anx,ani,{},42.75,46.25,Eurasia,,Andi,117,False,False
angami,,33,agm,"njm, nri",{},25.6666666667,94.5,Eurasia,,Angami,44,False,False
anong,,72,ano,nun,{},27.3333333333,98.75,Eurasia,,Anong,114,False,False
ao,,33,ao,njo,{},26.5833333333,94.6666666667,Eurasia,,Ao,119,False,False
apatani,,76,apt,apt,{},27.5,93.75,Eurasia,,Apatani,128,False,False
apucikwar,,43,apk,apq,{},12.1666666667,92.8333333333,Eurasia,,A-Pucikwar,126,False,False
arabic bahrain,,4,abh,abv,{},26.0,50.5,Eurasia,,Arabic (Bahrain),7,False,False
arabic beirut,,4,abe,apc,{},33.9166666667,35.5,Eurasia,,Arabic (Beirut),6,False,False
arabic gulf,,4,arg,afb,{},26.0,49.0,Eurasia,,Arabic (Gulf),135,False,False
arabic hijazi,,4,arh,acw,{},26.0,38.0,Eurasia,,Arabic (Hijazi),136,False,False
arabic iraqi,,4,arq,acm,{},33.0,44.0,Eurasia,,Arabic (Iraqi),145,False,False
arabic kormakiti,,4,ako,acy,{},35.25,33.5,Eurasia,,Arabic (Kormakiti),68,False,False
arabic kuwaiti,,4,arj,afb,{},29.5,47.5,Eurasia,,Arabic (Kuwaiti),138,False,False
arabic lebanese,,4,arl,apc,{},34.0,36.0,Eurasia,,Arabic (Lebanese),140,False,False
arabic modern standard,,4,ams,arb,{},25.0,42.0,Eurasia,,Arabic (Modern Standard),101,False,False
arabic negev,,4,arv,ajp,{},30.5,34.75,Eurasia,,Arabic (Negev),148,False,False
arabic north levantine spoken,,4,anl,apc,{},33.75,36.0,Eurasia,,Arabic (North Levantine Spoken),112,False,False
arabic palestinian,,4,apa,ajp,{},32.0,35.25,Eurasia,,Arabic (Palestinian),121,False,False
arabic sanani,,4,ars,ayn,{},16.0,44.0,Eurasia,,Arabic (San'ani),147,False,False
arabic syrian,,4,asy,apc,{},34.0,38.0,Eurasia,,Arabic (Syrian),159,False,False
arakanese marma,,20,akm,rmz,{},21.5,92.5,Eurasia,,Arakanese (Marma),66,False,False
archi,,32,arc,aqc,{},42.0,46.8333333333,Eurasia,,Archi,133,False,False
armenian eastern,,81,arm,hye,{},40.0,45.0,Eurasia,,Armenian (Eastern),141,False,True
armenian iranian,,81,arz,hye,{},32.6666666667,51.6666666667,Eurasia,,Armenian (Iranian),151,False,False
armenian western,,81,arw,hye,{},38.5,43.5,Eurasia,,Armenian (Western),149,False,False
assamese,,84,ass,asm,{},26.0,93.0,Eurasia,,Assamese,156,False,False
asturian,,85,ast,ast,{},43.25,-6.0,Eurasia,,Asturian,157,False,False
athpare,,88,ath,aph,{},27.0,87.3333333333,Eurasia,,Athpare,163,False,False
avar,,74,ava,ava,{},42.5,46.5,Eurasia,,Avar,174,False,False
awadhi,,84,awd,awa,{},27.5,81.5,Eurasia,,Awadhi,179,False,False
aynu,,83,ayn,aib,{},39.5,76.0,Eurasia,,Aynu,190,False,False
azari iranian,,83,azi,azb,{},37.5,47.0,Eurasia,,Azari (Iranian),195,False,False
azerbaijani,,83,aze,"azb, azj",{},40.5,48.5,Eurasia,,Azerbaijani,194,False,False
badaga,,116,bdg,bfq,{},11.6666666667,76.75,Eurasia,,Badaga,226,False,False
bagri,,84,bgi,bgq,{},29.5833333333,74.3333333333,Eurasia,,Bagri,248,False,False
bagvalal,,74,bgv,kva,{},42.5833333333,46.1666666667,Eurasia,,Bagvalal,255,False,False
bahnar,,157,bpb,bdq,{},13.8333333333,108.333333333,Eurasia,,Bahnar,335,False,False
bai,,105,bai,bca,{},26.0,100.0,Eurasia,,Bai,204,False,False
balti,,56,blt,bft,{},35.0,76.0,Eurasia,,Balti,294,False,False
baluchi,,138,blc,bgp,{},28.0,62.0,Eurasia,,Baluchi,286,False,False
baoan,,110,bao,peh,{},35.75,102.833333333333,Eurasia,,Bao'an,210,False,False
baragaunle,,56,brl,loy,{},28.8333333333,83.8333333333,Eurasia,,Baragaunle,356,False,False
bashkir,,83,bsk,bak,{},53.0,58.0,Eurasia,,Bashkir,371,False,False
basque,,158,bsq,eus,{},43.0,-3.0,Eurasia,,Basque,375,True,True
basque basaburua and imoz,,158,bqi,eus,{},43.0,-1.66666666667,Eurasia,,Basque (Basaburua and Imoz),339,False,False
basque bidasoa valley,,158,bqb,eus,{},43.0,-3.83333333333,Eurasia,,Basque (Bidasoa Valley),336,False,False
basque gernica,,158,bqg,eus,{},43.3333333333,-3.0,Eurasia,,Basque (Gernica),337,False,False
basque hondarribia,,158,bqh,eus,{},42.5,-3.0,Eurasia,,Basque (Hondarribia),338,False,False
basque lekeitio,,158,bql,eus,{},43.0,-2.5,Eurasia,,Basque (Lekeitio),340,False,False
basque northern high navarrese,,158,bqn,eus,{},43.3333333333,-2.5,Eurasia,,Basque (Northern High Navarrese),341,False,False
basque onati,,158,bqo,eus,{},42.5,-3.5,Eurasia,,Basque (Oñati),342,False,False
basque roncalese,,158,bqr,eus,{},43.0,-2.0,Eurasia,,Basque (Roncalese),343,False,False
basque sakana,,158,bqs,eus,{},42.5,-2.0,Eurasia,,Basque (Sakana),344,False,False
basque souletin,,158,bso,eus,{},43.5,-1.5,Eurasia,,Basque (Souletin),374,False,False
basque zeberio,,158,bqz,eus,{},42.0,-3.0,Eurasia,,Basque (Zeberio),345,False,False
bathari,,4,bth,bhm,{},18.0,56.0,Eurasia,,Bathari,377,False,False
bawm,,33,baw,bgr,{},22.5,92.25,Eurasia,,Bawm,216,False,True
belhare,,88,bel,byw,{},26.9666666667,87.3,Eurasia,,Belhare,236,False,False
belorussian,,141,blr,bel,{},54.0,28.0,Eurasia,,Belorussian,293,False,False
bengali,,84,ben,ben,{},24.0,90.0,Eurasia,,Bengali,238,False,False
bengali chittagong,,84,bec,ctg,{},22.3333333333,91.8333333333,Eurasia,,Bengali (Chittagong),232,False,False
betta kurumba,,116,bkb,xub,{},11.5,76.75,Eurasia,,Betta Kurumba,277,False,False
bezhta,,74,bez,kap,{},42.0833333333,46.1666666667,Eurasia,,Bezhta,242,False,False
bhili,,84,bhi,bhb,{},22.0,73.0,Eurasia,,Bhili,257,False,False
bhojpuri,,84,bho,bho,{},26.0,84.0,Eurasia,,Bhojpuri,259,False,False
bhumij,,129,bhu,unr,{},21.3333333333,86.5,Eurasia,,Bhumij,260,False,False
bisu,,20,biu,"bzi, lwm",{},19.75,100.0,Eurasia,,Bisu,274,False,False
bodo,,155,bod,brx,{},26.8333333333,92.0,Eurasia,,Bodo,323,False,False
bokar,,76,boq,adi,{},28.5,94.6666666667,Eurasia,,Bokar,329,False,False
bori,,76,boj,adi,{},28.3333333333,94.75,Eurasia,,Bori,325,False,False
bosnian,,141,bos,bos,{},43.0,18.0,Eurasia,,Bosnian,331,False,False
brahui,,163,brh,brh,{},28.5,67.0,Eurasia,,Brahui,352,False,True
brao,,157,bra,brb,{},14.1666666667,107.5,Eurasia,,Brao,346,False,False
breton,,162,bre,bre,{},48.0,-3.0,Eurasia,,Breton,350,False,False
british sign language,,23,bsl,bfi,{},52.0,-1.0,Eurasia,,British Sign Language,372,False,False
brokskat,,84,bkt,bkk,{},35.3333333333,76.5,Eurasia,,Brokskat,283,False,False
bru eastern,,167,bru,bru,{},17.3333333333,106.0,Eurasia,,Bru (Eastern),364,False,False
bru western,,167,brw,brv,{},16.75,104.75,Eurasia,,Bru (Western),365,False,False
budukh,,32,bdk,bdk,{},41.1666666667,48.4166666667,Eurasia,,Budukh,227,False,False
bugun,,127,bgn,,{},27.5,92.5833333333,Eurasia,,Bugun,251,False,False
bulgarian,,141,bul,bul,{},42.5,25.0,Eurasia,,Bulgarian,388,False,False
bunan,,56,ghr,bfu,{},32.5,77.0,Eurasia,,Bunan,739,False,False
bunu younuo,,292,pnu,buh,{},24.0,107.0,Eurasia,,Bunu (Younuo),1916,False,False
buriat,,110,but,bxm,{},52.0,108.0,Eurasia,,Buriat,393,False,False
burmese,,20,brm,mya,{},21.0,96.0,Eurasia,,Burmese,357,True,True
burushaski,,172,bur,bsk,{},36.5,74.5,Eurasia,,Burushaski,391,True,True
byansi,,56,bya,bee,{},30.1666666667,80.5,Eurasia,,Byansi,401,False,False
camling,,88,cml,rab,{},27.0,86.6666666667,Eurasia,,Camling,476,False,False
cantonese,,204,cnt,yue,{},23.0,113.0,Eurasia,,Cantonese,483,False,False
catalan,,85,ctl,cat,{},41.75,2.0,Eurasia,,Catalan,523,False,False
chaldean modern,,4,cld,cld,{},36.0,43.0,Eurasia,,Chaldean (Modern),467,False,False
chamalal,,74,chm,cji,{},42.55,46.05,Eurasia,,Chamalal,445,False,False
cham eastern,,14,cme,cjm,{},11.3333333333,108.5,Eurasia,,Cham (Eastern),473,False,False
cham western,,14,chw,cja,{},12.0,105.5,Eurasia,,Cham (Western),455,False,False
chang,,188,chg,nbc,{},26.3333333333,94.75,Eurasia,,Chang,439,False,False
chantyal,,56,chn,chx,{},28.5833333333,83.4166666667,Eurasia,,Chantyal,446,False,False
chaudangsi,,56,chd,cdn,{},30.0,80.25,Eurasia,,Chaudangsi,437,False,False
chechen,,186,chc,che,{},43.25,45.8333333333,Eurasia,,Chechen,436,False,False
chepang,,88,cpn,cdm,{},27.6666666667,84.75,Eurasia,,Chepang,498,False,False
chinese sign language,,23,csl,csl,{},35.0,115.0,Eurasia,,Chinese Sign Language,518,False,False
chin mara,,33,cmr,mrh,{},23.0,93.1666666667,Eurasia,,Chin (Mara),478,False,False
chin siyin,,33,chs,csy,{},23.8333333333,94.0,Eurasia,,Chin (Siyin),451,False,False
chin tiddim,,33,cti,ctd,{},23.3333333333,93.6666666667,Eurasia,,Chin (Tiddim),522,False,False
chrau,,157,chr,crw,{},10.75,107.5,Eurasia,,Chrau,450,False,False
chru,,14,crh,cje,{},11.5,108.5,Eurasia,,Chru,504,False,False
chukchi,,51,chk,ckt,{},67.0,-173.0,Eurasia,,Chukchi,443,True,True
chulym,,83,cly,clw,{},54.3333333333,89.6666666667,Eurasia,,Chulym,470,False,False
chuvash,,83,chv,chv,{},55.5,47.5,Eurasia,,Chuvash,454,False,False
cornish,,162,crn,cor,{},50.3333333333,-5.0,Eurasia,,Cornish,509,False,False
crimean tatar,,83,cri,crh,{},45.0,34.0833333333,Eurasia,,Crimean Tatar,505,False,False
cua,,157,cua,cua,{},15.25,108.5,Eurasia,,Cua,527,False,False
czech,,141,cze,ces,{},50.0,15.0,Eurasia,,Czech,544,False,False
dagur,,110,dgr,dta,{},48.0,124.0,Eurasia,,Dagur,576,False,False
danish,,27,dsh,dan,{},56.0,10.0,Eurasia,,Danish,620,False,False
darai,,84,dar,dry,{},24.0,84.0,Eurasia,,Darai,553,False,False
dargwa,,240,drg,dar,{},42.25,47.4166666667,Eurasia,,Dargwa,617,False,False
dari,,138,dri,prs,{},35.0,66.0,Eurasia,,Dari,618,False,False
darma,,56,drm,drd,{},30.0,79.75,Eurasia,,Darma,619,False,False
deuri,,155,deu,der,{},26.0,90.25,Eurasia,,Deuri,570,False,False
deutsche gebardensprache,,23,dge,gsg,{},52.0,11.0,Eurasia,,Deutsche Gebärdensprache,573,False,False
dhimal,,232,dhm,dhi,{},26.6666666667,87.75,Eurasia,,Dhimal,582,False,False
dhivehi,,84,dhi,div,{},4.16666666667,73.5,Eurasia,,Dhivehi,580,False,False
digaro,,233,dig,mhu,{},28.4166666667,96.0,Eurasia,,Digaro,588,False,False
dimasa,,155,dms,dis,{},25.5,93.0,Eurasia,,Dimasa,605,False,False
dogri,,84,dgi,"dgo, xnr",{},33.0,75.0,Eurasia,,Dogri,574,False,False
dolgan,,83,dol,dlg,{},71.25,98.0,Eurasia,,Dolgan,611,False,False
domaaki,,84,dmk,dmk,{},36.1666666667,74.0,Eurasia,,Domaaki,604,False,False
domari,,84,dom,rmt,{},32.0,35.0,Eurasia,,Domari,612,False,False
dong southern,,237,don,kmc,{},27.0,109.0,Eurasia,,Dong (Southern),613,False,False
dulong,,72,dul,duu,{},28.0,98.3333333333,Eurasia,,Dulong,625,False,False
dumi,,88,dmi,dus,{},27.25,86.6666666667,Eurasia,,Dumi,603,False,False
dutch,,27,dut,nld,{},52.5,6.0,Eurasia,,Dutch,628,False,False
dutch brabantic,,27,dbr,nld,{},50.75,4.5,Eurasia,,Dutch (Brabantic),558,False,False
dutch limburg,,27,dli,nld,{},51.0,5.5,Eurasia,,Dutch (Limburg),600,False,False
dutch zeeuws,,27,duz,zea,{},51.5,3.75,Eurasia,,Dutch (Zeeuws),629,False,False
enets,,252,ene,"enf, enh",{},67.5,86.5,Eurasia,,Enets,649,False,False
english,,27,eng,eng,{},52.0,0.0,Eurasia,,English,650,True,True
estonian,,256,est,est,{},59.0,26.0,Eurasia,,Estonian,659,False,False
even,,258,evn,eve,{},68.0,130.0,Eurasia,,Even,663,False,False
evenki,,258,eve,evn,{},56.0,125.0,Eurasia,,Evenki,662,False,True
faroese,,27,far,fao,{},62.0,-7.0,Eurasia,,Faroese,668,False,False
finnish,,256,fin,fin,{},62.0,25.0,Eurasia,,Finnish,675,True,True
finnish sign language,,23,fsl,fse,{},62.0,26.0,Eurasia,,Finnish Sign Language,691,False,False
french,,85,fre,fra,{},48.0,2.0,Eurasia,,French,688,True,True
frisian,,27,fri,frs,{},53.0,5.0,Eurasia,,Frisian,689,False,False
frisian eastern,,27,fea,frs,{},53.5833333333,7.5,Eurasia,,Frisian (Eastern),671,False,False
frisian north,,27,fno,frr,{},54.5,9.0,Eurasia,,Frisian (North),681,False,False
frisian western,,27,frw,fry,{},53.0,6.0,Eurasia,,Frisian (Western),690,False,False
fuzhou,,204,fuz,cdo,{},26.0,119.5,Eurasia,,Fuzhou,699,False,False
gadaba kondekor,,271,gdk,gdb,{},18.75,83.5,Eurasia,,Gadaba (Kondekor),726,False,False
gaelic scots,,162,gae,gla,{},57.0,-4.0,Eurasia,,Gaelic (Scots),704,False,False
gagauz,,83,gag,gag,{},46.3333333333,28.6666666667,Eurasia,,Gagauz,705,False,False
galician,,85,glc,glg,{},43.0,-8.0,Eurasia,,Galician,750,False,False
galo,,76,gal,adi,{},28.1666666667,94.6666666667,Eurasia,,Galo,707,False,False
garo,,155,gar,grt,{},25.6666666667,90.5,Eurasia,,Garo,711,False,True
gelao,,276,gla,gqu,{},22.9166666667,105.5,Eurasia,,Gelao,749,False,False
georgian,,272,geo,kat,{},42.0,44.0,Eurasia,,Georgian,731,True,True
german,,27,ger,deu,{},52.0,10.0,Eurasia,,German,732,True,True
german appenzell,,27,gpz,gsw,{},47.3333333333,9.33333333333,Eurasia,,German (Appenzell),777,False,False
german bavarian,,27,gba,bar,{},49.0,11.5,Eurasia,,German (Bavarian),715,False,False
german berlin,,27,gbl,deu,{},52.5,13.3333333333,Eurasia,,German (Berlin),720,False,False
german bern,,27,gbe,gsw,{},47.0,7.41666666667,Eurasia,,German (Bern),718,False,False
german hannover,,27,gha,deu,{},52.4166666667,9.66666666667,Eurasia,,German (Hannover),736,False,False
german mansfeldisch,,27,gma,deu,{},51.5833333333,11.5,Eurasia,,German (Mansfeldisch),754,False,False
german ostschweiz,,27,gos,gsw,{},47.4166666667,9.25,Eurasia,,German (Ostschweiz),776,False,False
german ripuarian,,27,grp,ksh,{},51.0,7.0,Eurasia,,German (Ripuarian),787,False,False
german thurgau,,27,gtg,gsw,{},47.5833333333,9.16666666667,Eurasia,,German (Thurgau),794,False,False
german thuringian,,27,gth,deu,{},51.0,11.0,Eurasia,,German (Thuringian),795,False,False
german timisoara,,27,gti,deu,{},45.75,21.25,Eurasia,,German (Timisoara),796,False,False
german upper austrian,,27,gau,bar,{},47.0,14.0,Eurasia,,German (Upper Austrian),712,False,False
german viennese,,27,gvi,bar,{},48.1666666667,16.3333333333,Eurasia,,German (Viennese),813,False,False
german westphalian,,27,gwe,wep,{},52.0,7.5,Eurasia,,German (Westphalian),815,False,False
german zurich,,27,gzu,gsw,{},47.4166666667,8.5,Eurasia,,German (Zurich),819,False,False
gilaki,,138,gil,glk,{},37.3333333333,50.0,Eurasia,,Gilaki,741,False,False
godoberi,,74,god,gdo,{},42.6666666667,46.0833333333,Eurasia,,Godoberi,767,False,False
gojri,,84,goj,gju,{},32.75,76.25,Eurasia,,Gojri,770,False,False
gondi,,282,gon,"ggo, gno",{},19.0,81.0,Eurasia,,Gondi,773,False,False
great andamanese,,43,gan,apq,{},12.0,92.6666666667,Eurasia,,Great Andamanese,709,False,False
greek cypriot,,270,gcy,ell,{},34.75,33.0,Eurasia,,Greek (Cypriot),722,False,False
greek modern,,270,grk,ell,{},39.0,22.0,Eurasia,,Greek (Modern),783,True,True
greek sign language,,23,gsl,gss,{},38.5,22.0,Eurasia,,Greek Sign Language,792,False,False
greenlandic east,,91,gre,kal,{},65.0,-40.0,Eurasia,,Greenlandic (East),779,False,False
greenlandic south,,91,gso,kal,{},60.0,-44.0,Eurasia,,Greenlandic (South),793,False,False
greenlandic west,,91,grw,kal,{},64.0,-51.0,Eurasia,,Greenlandic (West),791,True,True
gujarati,,84,guj,guj,{},23.0,72.0,Eurasia,,Gujarati,804,False,False
gurung,,56,gur,"ggn, gvr",{},28.3333333333,84.3333333333,Eurasia,,Gurung,809,False,False
gutob,,129,gdb,gbj,{},19.0,83.6666666667,Eurasia,,Gutob,723,False,False
gyarong cogtse,,286,gyc,jya,{},31.5,102.0,Eurasia,,Gyarong (Cogtse),818,False,False
hakka,,204,hak,hak,{},25.0,116.0,Eurasia,,Hakka,822,False,False
halang,,157,hln,hal,{},14.5,107.5,Eurasia,,Halang,849,False,False
halbi,,84,hlb,hlb,{},21.0,81.0,Eurasia,,Halbi,847,False,False
hani,,20,han,hni,{},23.0,103.0,Eurasia,,Hani,825,False,False
harsusi,,4,hrs,hss,{},20.0,56.5,Eurasia,,Harsusi,872,False,False
hawrami,,138,hwr,hac,{},35.75,45.5,Eurasia,,Hawrami,883,False,False
hayu,,88,hay,vay,{},27.25,86.0,Eurasia,,Hayu,831,False,False
hebrew modern,,4,heb,heb,{},31.5,34.8333333333,Eurasia,,Hebrew (Modern),835,True,True
hebrew modern ashkenazic,,4,hba,heb,{},31.75,35.1666666667,Eurasia,,Hebrew (Modern Ashkenazic),832,False,False
hindi,,84,hin,hin,{},25.0,77.0,Eurasia,,Hindi,844,True,True
hinuq,,74,hnk,gin,{},42.1666666667,46.0,Eurasia,,Hinuq,861,False,False
hlai baoding,,389,lic,lic,{},19.0,109.5,Eurasia,,Hlai (Baoding),1311,False,False
hmar,,33,hma,hmr,{},24.1666666667,93.0,Eurasia,,Hmar,852,False,False
hmong daw,,292,hmd,mww,{},26.0,105.0,Eurasia,,Hmong Daw,854,False,False
hmong njua,,292,hmo,"cqd, hnj",{},28.0,105.0,Eurasia,,Hmong Njua,856,True,True
ho,,129,ho,hoc,{},22.0,86.0,Eurasia,,Ho,864,False,False
hong kong sign language,,23,hks,,{},22.5,114.0,Eurasia,,Hong Kong Sign Language,846,False,False
hre,,157,hre,hre,{},14.6666666667,108.666666667,Eurasia,,Hre,870,False,False
hungarian,,296,hun,hun,{},47.0,20.0,Eurasia,,Hungarian,879,False,True
hunzib,,74,hzb,huz,{},42.1666666667,46.25,Eurasia,,Hunzib,886,False,True
hyow,,33,hyo,csh,{},22.0833333333,92.4166666667,Eurasia,,Hyow,885,False,False
icelandic,,27,ice,isl,{},65.0,-17.0,Eurasia,,Icelandic,893,False,False
icelandic sign language,,23,ics,icl,{},65.0,-18.0,Eurasia,,Icelandic Sign Language,894,False,False
idu,,233,idu,clk,{},29.3333333333,95.8333333333,Eurasia,,Idu,897,False,False
indopakistani sign language indian dialects,,23,ipi,ins,{},24.0,80.0,Eurasia,,Indo-Pakistani Sign Language (Indian dialects),923,False,False
indopakistani sign language karachi dialect,,23,ipk,pks,{},28.0,68.0,Eurasia,,Indo-Pakistani Sign Language (Karachi dialect),924,False,False
ingush,,186,ing,inh,{},43.1666666667,45.0833333333,Eurasia,,Ingush,917,False,True
irish,,162,iri,gle,{},53.0,-8.0,Eurasia,,Irish,928,False,True
irish donegal,,162,ird,gle,{},55.0,-8.0,Eurasia,,Irish (Donegal),927,False,False
irish munster,,162,irm,gle,{},52.5,-9.0,Eurasia,,Irish (Munster),929,False,False
irish sign language,,23,irs,isg,{},53.5,-7.5,Eurasia,,Irish Sign Language,932,False,False
ishkashmi,,138,ish,isk,{},37.0,72.0,Eurasia,,Ishkashmi,936,False,False
israeli sign language,,23,iss,isr,{},32.0,34.8333333333,Eurasia,,Israeli Sign Language,941,False,False
italian,,85,ita,ita,{},43.0,12.0,Eurasia,,Italian,942,False,False
italian bologna,,85,itb,egl,{},44.5,11.3333333333,Eurasia,,Italian (Bologna),943,False,False
italian fiorentino,,85,ifi,ita,{},43.75,11.25,Eurasia,,Italian (Fiorentino),898,False,False
italian genoa,,85,itg,lij,{},44.4166666667,8.95,Eurasia,,Italian (Genoa),945,False,False
italian napolitanian,,85,itn,nap,{},40.9166666667,14.25,Eurasia,,Italian (Napolitanian),946,False,False
italian turinese,,85,itu,pms,{},45.0,7.66666666667,Eurasia,,Italian (Turinese),948,False,False
itelmen,,308,ite,itl,{},57.0,157.5,Eurasia,,Itelmen,944,False,False
izhor,,256,izh,izh,{},59.0,29.0,Eurasia,,Izhor,956,False,False
jad,,56,jad,bod,{},30.8333333333,79.0,Eurasia,,Jad,959,False,False
jahai,,312,jah,jhi,{},5.75,101.5,Eurasia,,Jahai,960,False,False
japanese,,319,jpn,jpn,{},37.0,140.0,Eurasia,,Japanese,983,True,True
jarawa in andamans,,320,jrw,anq,{},12.0,92.5833333333,Eurasia,,Jarawa (in Andamans),986,False,False
jeh,,157,jeh,jeh,{},15.1666666667,107.833333333,Eurasia,,Jeh,969,False,False
jiarong,,286,jia,jya,{},31.5,102.0,Eurasia,,Jiarong,972,False,False
jibbali,,4,jib,shv,{},17.5,55.0,Eurasia,,Jibbali,973,False,False
jingpho,,317,jng,kac,{},25.4166666667,97.0,Eurasia,,Jingpho,980,False,False
jino,,20,jin,"jiu, jiy",{},22.0,101.0,Eurasia,,Jino,974,False,False
juang,,129,jun,jun,{},21.3333333333,86.0,Eurasia,,Juang,991,False,False
jugli,,188,jug,nst,{},27.5,96.3333333333,Eurasia,,Jugli,987,False,False
jurchen,,258,jur,juc,{},47.0,130.0,Eurasia,,Jurchen,992,False,False
kabardian,,7,kab,kbd,{},43.5,43.5,Eurasia,,Kabardian,996,False,False
kabatei,,138,kbt,xkp,{},36.75,49.4166666667,Eurasia,,Kabatei,1022,False,False
kabui,,33,kbi,nkf,{},24.8333333333,94.0,Eurasia,,Kabui,1018,False,False
kachari,,155,kac,xac,{},26.5,91.0,Eurasia,,Kachari,997,False,False
kalami,,84,kal,gwc,{},35.5,72.5,Eurasia,,Kalami,1004,False,False
kalasha,,84,klh,kls,{},35.0,72.0,Eurasia,,Kalasha,1105,False,False
kalmyk,,110,kmk,xal,{},44.0,83.0,Eurasia,,Kalmyk,1125,False,False
kalmyk issykkul,,110,kiq,xal,{},42.4166666667,78.3333333333,Eurasia,,Kalmyk (Issyk-Kul),1078,False,False
kamass,,252,kms,xas,{},52.0,92.0,Eurasia,,Kamass,1130,False,False
kanashi,,56,xns,xns,{},32.0833333333,77.25,Eurasia,,Kanashi,2548,False,False
kannada,,116,knd,kan,{},14.0,76.0,Eurasia,,Kannada,1138,True,True
karachaybalkar,,83,krc,krc,{},43.5,42.0,Eurasia,,Karachay-Balkar,1178,False,False
karaim,,83,krm,kdr,{},54.6666666667,24.9166666667,Eurasia,,Karaim,1188,False,False
karakalpak,,83,kkp,kaa,{},43.0,60.0,Eurasia,,Karakalpak,1093,False,False
karata,,74,krt,kpt,{},42.5833333333,46.3333333333,Eurasia,,Karata,1193,False,False
karelian,,256,krl,krl,{},64.0,32.0,Eurasia,,Karelian,1187,False,False
karen bwe,,332,kbw,bwe,{},19.5,97.0,Eurasia,,Karen (Bwe),1024,False,False
karen pwo,,332,kpw,"kjp, pwo",{},13.0,99.1666666667,Eurasia,,Karen (Pwo),1174,False,False
karen sgaw,,332,ksg,ksw,{},18.0,97.0,Eurasia,,Karen (Sgaw),1199,False,False
kashmiri,,84,kas,kas,{},34.0,76.0,Eurasia,,Kashmiri,1011,False,False
kashubian,,141,ksu,csb,{},54.0,18.0,Eurasia,,Kashubian,1208,False,False
kasong,,366,ksn,,{},12.75,102.116666667,Eurasia,,Kasong,1204,False,False
kati in afghanistan,,370,ktz,bsh,{},35.5,70.0,Eurasia,,Kati (in Afghanistan),1224,False,False
katu,,167,ktu,"ktv, kuf",{},15.8333333333,107.583333333,Eurasia,,Katu,1222,False,False
kayah li eastern,,332,kyl,eky,{},19.0,97.5,Eurasia,,Kayah Li (Eastern),1257,False,True
kazakh,,83,kaz,kaz,{},50.0,70.0,Eurasia,,Kazakh,1016,False,False
kerek,,51,krq,krk,{},62.25,175.0,Eurasia,,Kerek,1191,False,False
ket,,335,ket,ket,{},64.0,87.0,Eurasia,,Ket,1041,False,True
ketapang,,14,ktp,zlm,{},-1.86666666667,110.0,Eurasia,,Ketapang,1220,False,False
khakas,,83,khk,kjh,{},53.0,90.0,Eurasia,,Khakas,1060,False,False
khalaj,,83,khl,klj,{},35.0,50.0,Eurasia,,Khalaj,1061,False,False
khaling,,88,khg,klr,{},27.5,86.6666666667,Eurasia,,Khaling,1058,False,False
khalkha,,110,kha,khk,{},47.0,105.0,Eurasia,,Khalkha,1056,True,True
kham,,88,kmh,kgj,{},28.5,82.75,Eurasia,,Kham,1122,False,False
kham dege,,56,khd,khg,{},31.8333333333,98.5833333333,Eurasia,,Kham (Dege),1057,False,False
kham tibetan nangchen,,56,knz,khg,{},32.5,96.5,Eurasia,,Kham (Tibetan) (Nangchen),1150,False,False
khanty,,296,kty,kca,{},65.0,65.0,Eurasia,,Khanty,1223,False,False
